Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capital Cost|Electricity|Biomass|w/o CCS,US$2010/kW,4141.021064,3999.006312,3868.288188,3748.866692,3640.741824,3540.685976,3450.312952,3368.008948,3292.16016,3222.766588,3158.214428,3098.50368,3046.861952,2996.834028,2951.647516,2909.688612,2870.957316
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capital Cost|Electricity|Coal|w/ CCS,US$2010/kW,,,4586.430968,4425.050568,4302.401464,4205.573224,4131.33824,4074.8551,4029.668588,3995.778704,3968.344036,3947.364584,3932.840348,3919.929916,3910.247092,3902.178072,3897.33666
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capital Cost|Electricity|Coal|w/o CCS,US$2010/kW,3130.77976,2946.806104,2819.315588,2730.556368,2669.231816,2625.659108,2594.996832,2574.01738,2559.493144,2549.81032,2543.355104,2538.513692,2535.286084,2532.058476,,,
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capital Cost|Electricity|Gas|w/ CCS,US$2010/kW,,,1655.762904,1587.983136,1526.658584,1475.016856,1433.057952,1394.326656,1362.050576,1333.002104,1310.408848,1287.815592,1271.677552,1255.539512,1242.62908,1232.946256,1223.263432
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capital Cost|Electricity|Gas|w/o CCS,US$2010/kW,800.446784,755.260272,722.984192,697.163328,679.411484,666.501052,656.818228,648.749208,645.5216,639.066384,639.066384,635.838776,634.224972,632.611168,632.611168,632.611168,630.997364
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capital Cost|Electricity|Geothermal,US$2010/kW,3927.998936,3634.286608,3408.354048,3230.835608,3095.276072,2988.765008,2908.074808,2843.522648,2795.108528,2759.60484,2727.32876,2704.735504,2688.597464,2675.687032,2666.004208,2656.321384,2649.866168
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capital Cost|Electricity|Nuclear,US$2010/kW,5385.263948,5278.752884,5185.152252,5098.006836,5020.544244,4951.150672,4886.598512,4830.115372,4778.473644,4731.673328,4688.10062,4650.983128,4615.47944,4584.817164,4555.768692,4531.561632,4507.354572
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capital Cost|Electricity|Solar|CSP,US$2010/kW,4139.40726,3329.277652,2946.806104,2767.67386,2683.756052,2645.024756,2625.659108,2615.976284,2612.748676,2611.134872,2609.521068,2607.907264,2607.907264,2607.907264,2607.907264,2607.907264,2607.907264
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capital Cost|Electricity|Solar|PV,US$2010/kW,2688.597464,1978.523704,1563.238141,1315.788195,1168.394096,1076.945203,1020.999997,985.4963093,962.9030533,949.9926213,939.233928,934.9304507,930.6269733,928.4752347,927.3993653,926.323496,925.2476267
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capital Cost|Electricity|Wind|Offshore,US$2010/kW,2675.687032,2104.400416,1752.591144,1536.341408,1404.00948,1323.31928,1271.677552,1239.401472,1220.035824,1207.125392,1197.442568,1194.21496,1190.987352,1187.759744,1187.759744,1187.759744,1184.532136
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capital Cost|Electricity|Wind|Onshore,US$2010/kW,2778.970488,2304.512112,1963.999468,1718.70126,1541.18282,1415.306108,1321.705476,1255.539512,1207.125392,1171.621704,1145.80084,1128.048996,1115.138564,1103.841936,1097.38672,1092.545308,1089.3177
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Carbon Sequestration|CCS,Mt CO2/yr,14.9527227,44.82837269,173.4558524,679.7836935,1463.510416,1870.09432,1970.331055,3016.986414,3837.401729,3662.762801,3608.953625,3442.292157,3325.859065,3309.951684,3330.730761,3304.998459,3298.518036
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Carbon Sequestration|CCS|Biomass,Mt CO2/yr,13.61568028,12.46189275,12.0472326,21.87742624,28.04233405,44.92953616,111.779734,725.9427712,1876.667844,1943.952924,2077.008387,2058.41407,2036.095419,2107.385494,2217.907698,2288.885985,2364.803255
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Mt CO2/yr,0.001587329,0.020034515,0.057452763,0.226764623,0.916164924,1.979747251,2.497851171,2.721237167,2.610988377,2.256689675,1.847630453,1.583552123,1.482576329,1.500752512,1.521932548,1.508367658,1.451267331
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Carbon Sequestration|CCS|Biomass|Energy|Supply,Mt CO2/yr,13.61409296,12.44185823,11.98977984,21.65066161,27.12616912,42.9497889,109.2818828,723.2215341,1874.056856,1941.696234,2075.160756,2056.830518,2034.612843,2105.884742,2216.385765,2287.377618,2363.351988
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr,0,0,0.091017272,1.977286838,5.96496779,16.26350045,26.07479673,223.7393354,317.3658678,463.6344009,582.783141,598.0157101,559.2465661,699.3171968,887.6506034,1130.5589,1401.647373
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,Mt CO2/yr,0,0,0,6.060598659,11.38526683,16.97237454,33.94356521,446.4030691,1110.757321,873.7466871,719.849444,629.9324952,581.4951877,523.7653101,544.4181439,463.3314351,322.0132683
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Mt CO2/yr,13.61409296,12.44185823,11.89876256,13.61277612,9.775934506,9.713913916,49.26352087,53.07912949,445.9336668,604.3151462,772.5281715,828.8823128,893.8710889,882.8022348,784.3170181,693.4872826,639.6913468
